"TaxonUsageID";"TaxonConceptID";"TaxonName";"AuthorName"
58;58;"Astripomoea hyoscyamoides";"(Vatke) Verdc."
59;59;"Asystasia gangetica";"(L.) T. Anderson"
60;60;"Asystasia mysurensis";"(Roth) T. Anderson"
50007;60;"Asystasia schimperi";"T. Anderson"
61;61;"Avena species";
62;62;"Azolla pinnata";"R. Br."
63;63;"Bacopa decumbens";"(Fernald) F.N. Williams"
64;64;"Balanites aegyptiaca";"(L.) Delile"
65;65;"Barleria eranthemoides";"R. Br. ex C.B. Clarke"
66;66;"Barleria species";
67;67;"Barringtonia racemosa";"(L.) Spreng."
68;68;"Basella alba";"L."
69;69;"Basilicum polystachyon";"(L.) Moench"
70;70;"Berula erecta";"(Huds.) Coville"
71;71;"Bidens biternata";"(Lour.) Merr. & Sherff"
72;72;"Bidens pilosa";"L."
73;73;"Bidens schimperi";"Sch. Bip. ex Walp."
74;74;"Bidens species";
75;75;"Boerhavia erecta";"L."
76;76;"Boerhavia diffusa";"L."
77;77;"Bolboschoenus maritimus";"(L.) Palla"
78;78;"Brachiaria brizantha";"(Hochst. ex A. Rich.) Stapf"
79;79;"Brachiaria deflexa";"(Schumach.) C.E. Hubb. ex Robyns"
80;80;"Brachiaria dictyoneura";"(Fig. & De Not.) Stapf"
81;81;"Brachiaria lata";"(Schumach.) C.E. Hubb."
82;82;"Brachiaria ramosa";"(L.) Stapf"
83;83;"Brassica carinata";"A. Braun"
50008;83;"Brassica integrifolia";"(H. West) Rupr."
84;84;"Brassica oleracea";"L."
85;85;"Bridelia micrantha";"(Hochst.) Baill."
86;86;"Bromus species";
87;87;"Brugmansia suaveolens";"(Humb. & Bonpl. ex Willd.) Bercht. & C. Presl"
50009;87;"Datura suaveolens";"Humb. & Bonpl. ex Willd."
88;88;"Bulbostylis burchellii";"(Ficalho & Hiern) C.B. Clarke"
50010;88;"Fimbristylis burchellii";"Ficalho & Hiern"
89;89;"Caesalpinia decapetala";"(Roth) Alston"
90;90;"Cajanus cajan";"(L.) Huth"
91;91;"Callitriche oreophila";"Schotsman"
92;92;"Calopogonium mucunoides";"Desv."
93;93;"Capsicum annuum";"L."
94;94;"Cardamine trichocarpa";"Hochst. ex A. Rich."
95;95;"Carduus nutans";"L."
96;96;"Carex species";
97;97;"Carica papaya";"L."
98;98;"Cassia didymobotrya";"Fresen."
50545;98;"Senna didymobotrya";"(Fresen.) H.S. Irwin & Barneby"
99;99;"Cassia katangensis";"(Ghesq.) Steyaert"
100;100;"Cassia obtusifolia";"L."
101;101;"Cassia occidentalis";"L."
102;102;"Cassia petersiana";"Bolle"
103;103;"Cassia species";
104;104;"Casuarina equisetifolia";"L."
105;105;"Caylusea abyssinica";"(Fresen.) Fisch. & C.A. Mey."
106;106;"Ceiba pentandra";"(L.) Gaertn."
107;107;"Celosia trigyna";"L."
108;108;"Centaurea praecox";"Oliv. & Hiern"
109;109;"Centaurea species";
110;110;"Centella asiatica";"(L.) Urb."
52140;110;"Hydrocotyle asiatica";"L."
111;111;"Centrostachys aquatica";"(R. Br.) Wall."
112;112;"Ceratopteris cornuta";"(P. Beauv.) Lepr."
113;113;"Cheilanthes viridis";"(Forssk.) Sw."
50011;113;"Pellaea viridis";"(Forssk.) Prantl"
114;114;"Chenopodium album";"L."
115;115;"Chenopodium ambrosioides";"L."
116;116;"Chenopodium murale";"L."
117;117;"Chenopodium opulifolium";"Schrad. ex W.D.J. Koch & Ziz"
118;118;"Chloris barbata";"Sw."
119;119;"Chloris gayana";"Kunth"
120;120;"Chloris pilosa";"Schumach."
121;121;"Chloris pycnothrix";"Trin."
122;122;"Chloris roxburghiana";"Schult."
123;123;"Chromolaena odorata";"(L.) R. M. King & H. Rob."
52384;123;"Eupatorium odoratum";"L."
124;124;"Cirsium vulgare";"(Savi) Ten."
125;125;"Cissampelos mucronata";"A. Rich."
126;126;"Cissampelos pareira";"L."
127;127;"Cissus rotundifolia";"(Forssk.) Vahl"
128;128;"Citrullus lanatus";"(Thunb.) Mansf."
129;129;"Citrus xaurantium";"L."
50012;129;"Citrus xsinensis";"(L.) Osbeck"
130;130;"Clematis brachiata";"Thunb."
131;131;"Cleome gynandra";"L."
50013;131;"Gynandropsis gynandra";"(L.) Briq."
132;132;"Cleome monophylla";"L."
133;133;"Cleome parvipetala";"R.A. Graham"
134;134;"Cleome schimperi";"Pax"
135;135;"Cleome usambarica";"Pax"
136;136;"Cleome viscosa";"L."
137;137;"Clerodendrum capitatum";"(Willd.) Schumach."
138;138;"Cocos nucifera";"L."
139;139;"Coelachne africana";"Pilg."
140;140;"Coix lacryma-jobi";"L."
141;141;"Coldenia procumbens";"L."
142;142;"Colocasia esculenta";"(L.) Schott"
143;143;"Commelina africana";"L."
144;144;"Commelina benghalensis";"L."
145;145;"Commelina diffusa";"Burm. f."
146;146;"Commelina erecta";"L."
147;147;"Commelina imberbis";"Ehrenb. ex Hassk."
148;148;"Commelina species";
149;149;"Commelina subulata";"Roth"
150;150;"Convolvulus kilimandschari";"Engl."
151;151;"Convolvulus sagittatus";"Thunb."
152;152;"Convolvulus species";
153;153;"Conyza bonariensis";"(L.) Cronquist"
50014;153;"Erigeron floribundus";"(Kunth) Sch. Bip."
50136;153;"Erigeron bonariensis";"L."
154;154;"Conyza stricta";"Willd."
155;155;"Corchorus olitorius";"L."
156;156;"Corchorus tridens";"L."
157;157;"Corchorus trilocularis";"L."
159;159;"Cotula anthemoides";"L."
160;160;"Courtoisina assimilis";"(Steud.) Maquet"
50015;160;"Cyperus assimilis";"Steud."
161;161;"Crambe hispanica";"L."
162;162;"Crambe kilimandscharica";"O.E. Schulz"
163;163;"Crassocephalum crepidioides";"(Benth.) S. Moore"
164;164;"Crassocephalum vitellinum";"(Benth.) S. Moore"
165;165;"Crassula alsinoides";"(Hook. f.) Engl."
166;166;"Crassula helmsii";"(Kirk) Cockayne"
167;167;"Crassula schimperi";"Fisch. & C.A. Mey."
168;168;"Crinum papillosum";"Nordal"
169;169;"Crinum species";
170;170;"Crocosmia pearsei";"Oberm."
171;171;"Crotalaria agatiflora";"Schweinf."
172;172;"Crotalaria brevidens";"Benth."
173;173;"Crotalaria juncea";"L."
174;174;"Crotalaria kirkii";"Baker"
175;175;"Crotalaria lebrunii";"Baker f."
176;176;"Crotalaria retusa";"L."
177;177;"Crotalaria species";
178;178;"Croton dichogamus";"Pax"
179;179;"Croton megalocarpus";"Hutch."
180;180;"Cucumis aculeatus";"Cogn."
181;181;"Cucumis sativus";"L."
182;182;"Cucumis species";
183;183;"Cucurbita pepo";"L."
184;184;"Cupressus lusitanica";"Mill."
185;185;"Cyathula cylindrica";"Moq."
186;186;"Cyathula uncinulata";"(Schrad.) Schinz"
187;187;"Cyclospermum leptophyllum";"(Pers.) Sprague ex Britton & P. Wilson"
50016;187;"Apium leptophyllum";"(Pers.) F. Muell. ex Benth."
188;188;"Cycnium adonense";"E. Mey. ex Benth."
189;189;"Cycnium tubulosum";"(L. f.) Engl."
190;190;"Cynodon aethiopicus";"Clayton & Harlan"
191;191;"Cynodon dactylon";"(L.) Pers."
192;192;"Cyperus auriculatus";"(Nees & Meyen ex Kunth) Kük."
193;193;"Cyperus corymbosus";"Rottb."
194;194;"Cyperus difformis";"L."
195;195;"Cyperus digitatus";"Roxb."
196;196;"Cyperus distans";"L. f."
197;197;"Cyperus dives";"Delile"
52000;197;"Cyperus immensus";"C.B. Clarke"
198;198;"Cyperus elegans";"L."
199;199;"Cyperus esculentus";"L."
200;200;"Cyperus exaltatus";"Retz."
201;201;"Cyperus haspan";"L."
202;202;"Cyperus javanicus";"Houtt."
203;203;"Cyperus laevigatus";"L."
204;204;"Cyperus latifolius";"Poir."
205;205;"Cyperus laxus ssp. laxus";"Lam."
50017;205;"Cyperus diffusus";"Vahl"
206;206;"Cyperus papyrus";"L."
207;207;"Cyperus procerus";"Rottb."
208;208;"Cyperus renschii";"Boeckeler"
209;209;"Cyperus rotundus";"L."
210;210;"Cyperus species";
211;211;"Cyperus textilis";"Thunb."
212;212;"Cyperus undulatus";"Kük."
213;213;"Cyphostemma mildbraedii";"(Gilg & M. Brandt) Desc. ex Wild & R. B. Drumm."
214;214;"Dactyloctenium aegyptium";"(L.) Willd."
215;215;"Dactyloctenium geminatum";"Hack."
216;216;"Dalbergia melanoxylon";"Guill. & Perr."
217;217;"Datura stramonium";"L."
218;218;"Daucus carota";"L."
219;219;"Desmodium repandum";"(Vahl) DC."
220;220;"Dichondra repens";"J.R. Forst. & G. Forst."
221;221;"Dichrocephala integrifolia";"(L. f.) Kuntze"
222;222;"Digitaria abyssinica";"(Hochst. ex A. Rich.) Stapf"
223;223;"Digitaria aridicola";"Napper"
224;224;"Digitaria fuscescens";"(J. Presl) Henrard"
225;225;"Digitaria horizontalis";"Willd."
226;226;"Digitaria scalarum";"(Schweinf.) Chiov."
227;227;"Digitaria species";
228;228;"Digitaria velutina";"(Forssk.) P. Beauv."
229;229;"Diplotaxis erucoides";"(L.) DC."
230;230;"Diplotaxis tenuifolia";"(L.) DC."
231;231;"Dissotis rotundifolia";"(Sm.) Triana"
233;233;"Drymaria cordata";"(L.) Willd. ex Roem. & Schult."
234;234;"Dryopteris inaequalis";"(Schltdl.) Kuntze"
235;235;"Echinochloa colona";"(L.) Link"
236;236;"Echinochloa haploclada";"(Stapf) Stapf"
237;237;"Echinochloa pyramidalis";"(Lam.) Hitchc. & Chase"
238;238;"Echinochloa species";
239;239;"Echinochloa stagnina";"(Retz.) P. Beauv."
240;240;"Eclipta prostrata";"(L.) L."
50018;240;"Eclipta alba";"(L.) Hassk."
241;241;"Eclipta species";
242;242;"Eleusine indica";"(L.) Gaertn."
243;243;"Eleusine multiflora";"Hochst. ex A. Rich."
244;244;"Emilia coccinea";"(Sims) G. Don"
245;245;"Emilia discifolia";"(Oliv.) C. Jeffrey"
50019;245;"Senecio discifolius";"Oliv."
246;246;"Enicostema axillare";"(Lam.) A. Raynal"
247;247;"Ensete ventricosum";"(Welw.) Cheesman"
50541;247;"Ensete edule";"Horan."
248;248;"Epilobium hirsutum";"L."
249;249;"Epilobium salignum";"Hausskn."
250;250;"Eragrostis aethiopica";"Chiov."
251;251;"Eragrostis amabilis";"(L.) Wight & Arn."
50020;251;"Eragrostis tenella";"(L.) P. Beauv. ex Roem. & Schult."
252;252;"Eragrostis aspera";"(Jacq.) Nees"
253;253;"Eragrostis ciliaris";"(L.) R. Br."
254;254;"Eragrostis curvula";"(Schrad.) Nees"
255;255;"Eragrostis macilenta";"(A. Rich.) Steud."
256;256;"Eragrostis species";
52094;256;"Eragrostis aff. lasiantha";"Stapf"
257;257;"Eragrostis stapfii";"De Winter"
258;258;"Eragrostis tef";"(Zuccagni) Trotter"
50021;258;"Eragrostis abyssinica";"(Jacq.) Link"
259;259;"Eragrostis tenuifolia";"(A. Rich.) Steud."
260;260;"Eriochloa fatmensis";"(Hochst. & Steud.) Clayton"
261;261;"Eriosema species";
262;262;"Erucastrum arabicum";"Fisch. & C.A. Mey."
263;263;"Erythrina abyssinica";"Lam. ex DC."
264;264;"Ethulia conyzoides";"L. f."
265;265;"Ethulia scheffleri";"S. Moore"
266;266;"Ethulia vernonioides";"(Schweinf.) M. G. Gilbert"
267;267;"Eucalyptus camaldulensis";"Dehnh."
268;268;"Eucalyptus globulus";"Labill."
269;269;"Euclea divinorum";"Hiern"
50787;269;"Euclea divinorum ssp. keniensis";"(R. E. Fr.) de Wit"
270;270;"Euphorbia cotinifolia";"L."
271;271;"Euphorbia heterophylla";"L."
272;272;"Euphorbia hirta";"L."
273;273;"Euphorbia inaequilatera var. dentata";"(N.E. Br.) M. G. Gilbert"
50022;273;"Euphorbia granulata var. dentata";"N.E. Br."
274;274;"Euphorbia species";
275;275;"Euphorbia tirucalli";"L."
276;276;"Fagopyrum snowdenii";"(Hutch. & Dandy) S. P. Hong"
50023;276;"Harpagocarpus snowdenii";"Hutch. & Dandy"
277;277;"Fallopia convolvulus";"(L.) A. Löve"
50024;277;"Polygonum convolvulus";"L."
278;278;"Ficus sur";"Forssk."
279;279;"Ficus sycomorus";"L."
280;280;"Ficus usambarensis";"Warb."
281;281;"Fimbristylis bisumbellata";"(Forssk.) Bubani"
282;282;"Floscopa glomerata";"(Willd. ex Schult. & Schult. f.) Hassk."
283;283;"Flueggea virosa";"(Roxb. ex Willd.) Royle"
284;284;"Fuirena umbellata";"Rottb."
285;285;"Galinsoga parviflora";"Cav."
286;286;"Galinsoga quadriradiata";"Ruiz & Pav."
50025;286;"Galinsoga ciliata";"(Raf.) S. F. Blake"
50026;286;"Galinsoga urticifolia";"(Kunth) Benth."
287;287;"Galium aparinoides";"Forssk."
51226;287;"Galium hamatum";"A. Rich."
288;288;"Galium scioanum";"Chiov."
289;289;"Gamochaeta purpurea";"(L.) Cabrera"
290;290;"Geranium mascatense";"Boiss."
50027;290;"Geranium ocellatum";"Cambess."
291;291;"Gisekia pharnaceoides";"L."
292;292;"Glycine max";"(L.) Merr."
293;293;"Gnaphalium declinatum";"L. f."
295;295;"Gomphocarpus physocarpus";"E. Mey."
296;296;"Gomphrena celosioides";"Mart."
297;297;"Grangea maderaspatana";"(L.) Desf."
298;298;"Grevillea robusta";"A. Cunn. ex R. Br."
299;299;"Grewia bicolor";"Juss."
300;300;"Grewia similis";"K. Schum."
302;302;"Haplosciadium abyssinicum";"Hochst."
303;303;"Heliotropium benadirense";"Chiov."
304;304;"Heliotropium curassavicum";"L."
305;305;"Heliotropium indicum";"L."
306;306;"Heliotropium species";
307;307;"Heliotropium steudneri";"Vatke"
308;308;"Helosciadium nodiflorum";"(L.) W.D.J. Koch"
50030;308;"Apium nodiflorum";"(L.) Lag."
309;309;"Heracleum abyssinicum";"(Boiss.) C. Norman"
310;310;"Heteropogon contortus";"(L.) P. Beauv. ex Roem. & Schult."
311;311;"Hewittia malabarica";"(L.) Suresh"
50031;311;"Hewittia sublobata";"(L.f.) Kuntze"
52307;311;"Hewittia scandens";"(J.König ex Milne) Mabb."
312;312;"Hibiscus cannabinus";"L."
313;313;"Hibiscus diversifolius";"Jacq."
314;314;"Hibiscus species";
315;315;"Hibiscus vitifolius";"L."
316;316;"Hirpicium diffusum";"(O. Hoffm.) Roessler"
317;317;"Hydrocotyle sibthorpioides";"Lam."
318;318;"Hydrolea palustris";"(Aubl.) Raeusch."
50032;318;"Hydrolea glabra";"Schumach. & Thonn."
319;319;"Hygrophila auriculata";"(Schumach.) Heine"
320;320;"Hyparrhenia diplandra";"(Hack.) Stapf"
321;321;"Hyphaene compressa";"H. Wendl."
322;322;"Hyptis suaveolens";"(L.) Poit."
323;323;"Indigofera arrecta";"Hochst. ex A. Rich."
324;324;"Indigofera schimperi";"Jaub. & Spach"
325;325;"Indigofera species";
52126;325;"Indigofera aff. vicioides";"Jaub. & Spach"
326;326;"Indigofera volkensii";"Taub."
327;327;"Ipomoea aquatica";"Forssk."
328;328;"Ipomoea batatas";"(L.) Lam."
329;329;"Ipomoea cairica";"(L.) Sweet"
330;330;"Ipomoea obscura";"(L.) Ker Gawl."
331;331;"Ipomoea ochracea";"(Lindl.) G. Don"
332;332;"Ipomoea pes-caprae";"(L.) R. Br."
333;333;"Ipomoea purpurea";"(L.) Roth"
334;334;"Ipomoea sinensis";"Choisy"
335;335;"Ipomoea triloba";"L."
336;336;"Ipomoea wightii";"(Wall.) Choisy"
337;337;"Isachne kiyalaensis";"(Vanderyst) Robyns"
338;338;"Ischaemum rugosum";"Salisb."
339;339;"Juncus engleri";"Buchenau"
340;340;"Juncus oxycarpus";"E. Mey. ex Kunth"
341;341;"Justicia betonica";"L."
342;342;"Justicia flava";"(Vahl) Vahl"
343;343;"Kalanchoe crenata";"(Andrews) Haw."
50033;343;"Kalanchoe integra var. crenata";"(Andrews) Cufod."
344;344;"Kalanchoe densiflora";"Rolfe"
346;346;"Kyllinga alata";"Nees"
347;347;"Kyllinga brevifolia";"Rottb."
349;349;"Kyllinga nemoralis";"(J.R. Forst. & G. Forst.) Dandy ex Hutch. & Dalziel"
350;350;"Kyllinga pumila";"Michx."
352;352;"Lablab purpureus";"(L.) Sweet"
353;353;"Lactuca sativa";"L."
354;354;"Lantana camara";"L."
355;355;"Launaea cornuta";"(Hochst. ex Oliv. & Hiern) C. Jeffrey"
356;356;"Leersia hexandra";"Sw."
357;357;"Leonotis nepetifolia";"(L.) R. Br."
358;358;"Leucas deflexa";"Hook. f."
359;359;"Leucas urticifolia";"(Vahl) R. Br."
361;361;"Ludwigia abyssinica";"A. Rich."
362;362;"Ludwigia adscendens";"(L.) H. Hara"
363;363;"Ludwigia adscendens ssp. diffusa";"(Forssk.) P.H. Raven"
50037;363;"Ludwigia stolonifera";"(Guill. & Perr.) P.H. Raven"
52001;363;"Jussiaea stolonifera";"Guill. & Perr."
364;364;"Ludwigia alternifolia";"L."
365;365;"Ludwigia leptocarpa";"(Nutt.) H. Hara"
366;366;"Ludwigia octovalvis";"(Jacq.) P.H. Raven"
50038;366;"Jussiaea linearis";"Hochst."
367;367;"Ludwigia senegalensis";"(DC.) Troch."
368;368;"Lupinus species";
369;369;"Lycopersicon esculentum";"Mill."
50039;369;"Solanum lycopersicum";"L."
370;370;"Lysimachia adoensis";"(Kunze) Klatt"
50040;370;"Asterolinon adoense";"Kunze"
371;371;"Lythrum rotundifolium";"Hochst. ex A. Rich."
372;372;"Macrotyloma axillare";"(E. Mey.) Verdc."
373;373;"Malva parviflora";"L."
374;374;"Malva species";
375;375;"Mangifera indica";"L."
376;376;"Manihot esculenta";"Crantz"
377;377;"Mariscus species";
378;378;"Marsilea minuta";"L."
379;379;"Melanthera scandens";"(Schumach. & Thonn.) Roberty"
380;380;"Melinis repens";"(Willd.) Zizka"
50041;380;"Rhynchelytrum repens";"(Willd.) C.E. Hubb."
381;381;"Melochia corchorifolia";"L."
382;382;"Microchloa kunthii";"Desv."
383;383;"Mimosa pigra";"L."
384;384;"Mimosa pudica";"L."
385;385;"Mitracarpus hirtus";"(L.) DC."
50042;385;"Mitracarpus villosus";"(Sw.) DC."
386;386;"Mollugo nudicaulis";"Lam."
387;387;"Momordica charantia";"L."
388;388;"Monsonia angustifolia";"E. Mey. ex A. Rich."
389;389;"Montia fontana";"L."
390;390;"Morus alba";"L."
391;391;"Mucuna gigantea";"(Willd.) DC."
392;392;"Mucuna pruriens";"(L.) DC."
393;393;"Musa x paradisiaca";"L."
52311;393;"Musa x sapientum";"L."
394;394;"Nephrolepis biserrata";"(Sw.) Schott"
395;395;"Neptunia oleracea";"Lour."
396;396;"Nicandra physalodes";"(L.) Gaertn."
397;397;"Nicotiana tabacum";"L."
398;398;"Nymphaea nouchali";"Burm. f."
399;399;"Ocimum basilicum";"L."
400;400;"Ocimum gratissimum";"L."
50043;400;"Ocimum suave";"Willd."
401;401;"Ocimum species";
402;402;"Oldenlandia monanthos";"(A. Rich.) Hiern"
403;403;"Oldenlandia species";
404;404;"Opuntia ficus-indica";"(L.) Mill."
50044;404;"Opuntia vulgaris";"Mill."
405;405;"Oryza longistaminata";"A. Chev. & Roehr."
406;406;"Oryza sativa";"L."
407;407;"Oxalis corniculata";"L."
50739;407;"Oxalis corniculata var. repens";"(Thunb.) Zucc."
408;408;"Oxalis corymbosa";"DC."
409;409;"Oxalis latifolia";"Kunth"
410;410;"Oxygonum sinuatum";"(Hochst. & Steud. ex Meisn.) Dammer"
411;411;"Panicum coloratum";"L."
412;412;"Panicum humile";"Nees ex Steud."
50045;412;"Panicum watense";"Mez"
413;413;"Panicum hygrocharis";"Steud."
50046;413;"Panicum repentellum";"Napper"
414;414;"Panicum hymeniochilum";"Nees"
415;415;"Panicum laxum";"Sw."
416;416;"Panicum maximum";"Jacq."
50047;416;"Panicum trichocondylum";"Steud."
417;417;"Panicum repens";"L."
418;418;"Panicum trichocladum";"Hack. ex K. Schum."
419;419;"Paspalum conjugatum";"P. J. Bergius"
420;420;"Paspalum distichum";"L."
421;421;"Paspalum scrobiculatum";"L."
50048;421;"Paspalum auriculatum";"J. Presl & C. Presl"
422;422;"Paspalum vaginatum";"Sw."
423;423;"Passiflora edulis";"Sims"
424;424;"Passiflora mexicana";"Juss."
425;425;"Pennisetum mezianum";"Leeke"
427;427;"Pennisetum purpureum";"Schumach."
428;428;"Pentodon pentandrus";"(Schumach. & Thonn.) Vatke"
429;429;"Persea americana";"Mill."
430;430;"Persicaria decipiens";"(R. Br.) K. L. Wilson"
50050;430;"Polygonum salicifolium";"Brouss. ex Willd."
431;431;"Persicaria nepalensis";"(Meisn.) H. Gross"
50051;431;"Polygonum nepalense";"Meisn."
432;432;"Persicaria senegalensis";"(Meisn.) Soják"
50052;432;"Polygonum senegalense";"Meisn."
433;433;"Persicaria setosula";"(A. Rich.) K. L. Wilson"
50053;433;"Polygonum setosulum";"A. Rich."
434;434;"Phalaris arundinacea";"L."
435;435;"Phaseolus vulgaris";"L."
436;436;"Phoenix reclinata";"Jacq."
437;437;"Phragmites australis ssp. altissimus";"(Benth.) Clayton"
439;439;"Phyllanthus amarus";"Schumach. & Thonn."
440;440;"Physalis minima";"L."
441;441;"Physalis peruviana";"L."
442;442;"Piliostigma thonningii";"(Schumach.) Milne-Redh."
443;443;"Pimpinella anisum";"L."
444;444;"Pimpinella battandieri";"Chabert"
445;445;"Pimpinella hirtella";"A. Rich."
446;446;"Pinus patula";"Schltdl. & Cham."
447;447;"Pistia stratiotes";"L."
448;448;"Pisum sativum";"L."
449;449;"Plantago palmata";"Hook. f."
450;450;"Pluchea dioscoridis";"(L.) DC."
451;451;"Poa species";
452;452;"Podocarpus falcatus";"(Thunb.) R. Br. ex Mirb."
453;453;"Polygala sphenoptera";"Fresen."
454;454;"Polygonum aviculare";"L."
455;455;"Polygonum pulchrum";"Blume"
456;456;"Polypogon monspeliensis";"(L.) Desf."
457;457;"Portulaca oblonga";"Peter"
458;458;"Portulaca oleracea";"L."
459;459;"Portulaca quadrifida";"L."
460;460;"Potamogeton octandrus";"Poir."
461;461;"Prosopis species";
462;462;"Pseudognaphalium luteoalbum";"(L.) Hilliard & B.L. Burtt"
463;463;"Psiadia punctulata";"(DC.) Vatke"
464;464;"Psidium guajava";"L."
465;465;"Pycnostachys umbrosa";"(Vatke) Perkins"
466;466;"Pycreus nigricans";"(Steud.) C.B. Clarke"
51096;466;"Cyperus nigricans";"Steud."
467;467;"Pycreus sanguinolentus";"(Vahl) Nees"
468;468;"Ranunculus multifidus";"Forssk."
470;470;"Rhynchosia minima";"(L.) DC."
471;471;"Rhynchosia usambarensis";"Taub."
472;472;"Richardia brasiliensis";"Gomes"
473;473;"Ricinus communis";"L."
474;474;"Rorippa micrantha";"(Roth) Jonsell"
475;475;"Rorippa microphylla";"(Boenn. ex Rchb.) Hyl."
50055;475;"Nasturtium microphyllum";"Boenn. ex Rchb."
476;476;"Rorippa nasturtium-aquaticum";"(L.) Hayek"
50056;476;"Nasturtium officinale";"R. Br."
477;477;"Rorippa palustris";"(L.) Besser"
478;478;"Rotala fluitans";"Pohnert"
479;479;"Rotala serpiculoides";"Welw. ex Hiern"
480;480;"Rottboellia cochinchinensis";"(Lour.) Clayton"
52232;480;"Rottboellia exaltata";"L.f."
481;481;"Rubus keniensis";"Standl."
482;482;"Rubus steudneri";"Schweinf."
483;483;"Rumex abyssinicus";"Jacq."
484;484;"Rumex nepalensis";"Spreng."
50057;484;"Rumex bequaertii";"Wild."
485;485;"Rumex usambarensis";"(Dammer) Dammer"
486;486;"Saccharum officinarum";"L."
487;487;"Sacciolepis africana";"C.E. Hubb. & Snowden"
488;488;"Scabiosa columbaria";"L."
489;489;"Schkuhria pinnata";"(Lam.) Thell."
490;490;"Schoenoplectus corymbosus";"(Roth ex Roem. & Schult.) J. Raynal"
491;491;"Schoenoplectus species";
492;492;"Scirpus species";
493;493;"Senecio picridifolius";"DC."
50058;493;"Crassocephalum picridifolium";"(DC.) S.Moore"
494;494;"Senecio species";
495;495;"Sericocomopsis hildebrandtii";"Schinz"
496;496;"Sesamum angustifolium";"(Oliv.) Engl."
497;497;"Sesbania sesban";"(L.) Merr."
498;498;"Sesbania speciosa";"Taub."
499;499;"Setaria homonyma";"(Steud.) Chiov."
500;500;"Setaria megaphylla";"(Steud.) T. Durand & Schinz"
501;501;"Setaria sphacelata";"(Schumach.) Stapf & C.E. Hubb."
502;502;"Setaria verticillata";"(L.) P. Beauv."
503;503;"Sida acuta";"Burm. f."
504;504;"Sida alba";"L."
505;505;"Sida cordifolia";"L."
506;506;"Sida ovata";"Forssk."
507;507;"Sida schimperiana";"Hochst. ex A. Rich."
50059;507;"Sida cuneifolia";"Roxb."
508;508;"Silene gallica";"L."
509;509;"Silybum marianum";"(L.) Gaertn."
510;510;"Solanum anguivi";"Lam."
